SCHOOL YEAR,SEMESTER,EXPENSE NAME,TYPE,AMOUNT,NOTES,
2019-2020,Fall,Venues,Event,350.00,,
2019-2020,Fall,Transport,Event,2744.34,,
2019-2020,Fall,Accomodation,Event,614.91,,
2019-2020,Fall,Marketing,Event,279.90,,
2019-2020,Fall,Other,Event,138.43,,
2019-2020,Spring,Venues,Event,0.00,,
2019-2020,Spring,Transport,Event,198.57,,
2019-2020,Spring,Accomodation,Event,1820.17,,
2019-2020,Spring,Marketing,Event,59.93,,
2019-2020,Spring,Other,Event,0.00,,
2019-2020,Year,Tech Expenses,Nonspecific,1555.06,,
2019-2020,Spring,Recruitment Expenses,Nonspecific,302.76,Internal Affairs,
2019-2020,Fall,Recruitment Expenses,Nonspecific,313.69,Internal Affairs,
2019-2020,Spring,Retreat Subsidy,Nonspecific,1258.19,Internal Affairs,
2019-2020,Fall,Retreat Subsidy,Nonspecific,754.96,Internal Affairs,
2019-2020,Fall,Banquet,Nonspecific,183.81,Internal Affairs,
2019-2020,Year,Rollover from Spring 2019,Nonspecific,315.66,Rollover,
2019-2020,Year,Committee Budgets,Nonspecific,60.00,Committee/Club,
2019-2020,Year,Misc.,Nonspecific,661.12,,
2018-2019,Fall,Venues,Event,2663.75,,
2018-2019,Fall,Transport,Event,186.96,,
2018-2019,Fall,Accomodation,Event,0.00,,
2018-2019,Fall,Marketing,Event,364.04,,
2018-2019,Fall,Other,Event,300.00,,
2018-2019,Spring,Venues,Event,1590.00,,
2018-2019,Spring,Transport,Event,2954.56,,
2018-2019,Spring,Accomodation,Event,119.02,,
2018-2019,Spring,Marketing,Event,449.26,,
2018-2019,Spring,Other,Event,110.00,,
2018-2019,Fall,Tech Expenses,Nonspecific,5672.53,Committee/Club,
2018-2019,Spring,Recruitment Expenses,Nonspecific,409.20,Spring Marketing ($409.20),
2018-2019,Fall,Recruitment Expenses,Nonspecific,632.00,Fall Marketing ($364.04) +  Meet and Greet ($267.96),
2018-2019,Spring,Retreat Subsidy,Nonspecific,600.00,Internal Affairs,
2018-2019,Fall,Retreat Subsidy,Nonspecific,600.00,Internal Affairs,
2018-2019,Year,Banquet,Nonspecific,396.32,Internal Affairs,
2018-2019,Year,AWS,Nonspecific,265.19,Committee/Club,
2018-2019,Year,Misc.,Nonspecific,148.25,,
2018-2019,Fall,Slack Subscription,Nonspecific,736.24,Committee/Club,
2018-2019,Year,Transcription Services,Nonspecific,423.26,Committee/Club,
2017-2018,Year,Venues,Event,2125.00,BHI,
2017-2018,Year,Transport,Event,493.00,BHI,
2017-2018,Year,Accomodation,Event,190.00,BHI,
2017-2018,Year,Marketing,Event,488.00,BHI,
2017-2018,Year,Other,Event,330.00,BHI,
2017-2018,Year,Recruitment Expenses,Nonspecific,260.00,Internal Affairs,
2017-2018,Year,Retreat Subsidy,Nonspecific,600.00,Internal Affairs,
2017-2018,Year,Tech Expenses,Nonspecific,2110.00,,
2017-2018,Year,Misc.,Nonspecific,1429.00,Damage (100) + Capex (1229) + Marketing (50) + Misc (50),
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,